t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
14,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.132265,0.500000,stable,0.255773,0,0,0,1.618034
14.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.918583,0.500000,stable,0.158080,0,0,0,1.618034
14.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.759518,0.500000,stable,0.000005,0,0,0,1.618034
14.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,382.044683,0.500000,stable,0.158071,0,0,0,1.618034
14.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.029890,0.500000,stable,0.255770,0,0,0,1.618034
14.500000,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,386.818067,0.500000,stable,0.255773,0,0,0,1.618034
14.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.466611,0.500000,stable,0.158080,0,0,0,1.618034
14.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.465078,0.500000,stable,0.000005,0,0,0,1.618034
14.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,382.029192,0.500000,stable,0.158071,0,0,0,1.618034
14.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.254326,0.500000,stable,0.255770,0,0,0,1.618034
15,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.224885,0.500000,stable,0.255773,0,0,0,1.618034
15.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,387.024002,0.500000,stable,0.158080,0,0,0,1.618034
15.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,384.072139,0.500000,stable,0.000005,0,0,0,1.618034
15.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,382.469484,0.500000,stable,0.158071,0,0,0,1.618034
15.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.331122,0.500000,stable,0.255770,0,0,0,1.618034
15.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,386.949778,0.500000,stable,0.255773,0,0,0,1.618034
15.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.628009,0.500000,stable,0.158080,0,0,0,1.618034
15.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.813692,0.500000,stable,0.000005,0,0,0,1.618034
15.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,382.455332,0.500000,stable,0.158071,0,0,0,1.618034
15.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.527290,0.500000,stable,0.255770,0,0,0,1.618034
16,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.305841,0.500000,stable,0.255773,0,0,0,1.618034
16.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,387.116324,0.500000,stable,0.158080,0,0,0,1.618034
16.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,384.346157,0.500000,stable,0.000005,0,0,0,1.618034
16.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,382.841909,0.500000,stable,0.158071,0,0,0,1.618034
16.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.594440,0.500000,stable,0.255770,0,0,0,1.618034
16.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.062959,0.500000,stable,0.255773,0,0,0,1.618034
16.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.766521,0.500000,stable,0.158080,0,0,0,1.618034
16.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,384.117486,0.500000,stable,0.000005,0,0,0,1.618034
16.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,382.828956,0.500000,stable,0.158071,0,0,0,1.618034
16.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.767362,0.500000,stable,0.255770,0,0,0,1.618034
17,0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.377204,0.500000,stable,0.255773,0,0,0,1.618034
17.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,387.197849,0.500000,stable,0.158080,0,0,0,1.618034
17.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,384.588307,0.500000,stable,0.000005,0,0,0,1.618034
17.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.171080,0.500000,stable,0.158071,0,0,0,1.618034
17.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.826572,0.500000,stable,0.255770,0,0,0,1.618034
17.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.161201,0.500000,stable,0.255773,0,0,0,1.618034
17.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.886601,0.500000,stable,0.158080,0,0,0,1.618034
17.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,384.384549,0.500000,stable,0.000005,0,0,0,1.618034
17.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.159200,0.500000,stable,0.158071,0,0,0,1.618034
17.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,384.980148,0.500000,stable,0.255770,0,0,0,1.618034
18,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.440585,0.500000,stable,0.255773,0,0,0,1.618034
18.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,387.270366,0.500000,stable,0.158080,0,0,0,1.618034
18.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,384.803842,0.500000,stable,0.000005,0,0,0,1.618034
18.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.464121,0.500000,stable,0.158071,0,0,0,1.618034
18.400000,0.474239,0.268941,1,0,0.000011,1,0.268941,0,385.032745,0.500000,stable,0.255770,0,0,0,1.618034
18.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.247234,0.500000,stable,0.255773,0,0,0,1.618034
18.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.991633,0.500000,stable,0.158080,0,0,0,1.618034
18.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,384.621138,0.500000,stable,0.000005,0,0,0,1.618034
18.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.453197,0.500000,stable,0.158071,0,0,0,1.618034
18.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,385.170048,0.500000,stable,0.255770,0,0,0,1.618034
19,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.497252,0.500000,stable,0.255773,0,0,0,1.618034
19.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,387.335289,0.500000,stable,0.158080,0,0,0,1.618034
19.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,384.996923,0.500000,stable,0.000005,0,0,0,1.618034
19.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.726669,0.500000,stable,0.158071,0,0,0,1.618034
